epoch,train_total,val_total,val_bip,val_phys,val_trust,val_kk,val_pos,val_sum,val_smooth
1,49.428,48.4526,47.2849,0.3667,1.8336,0.0002,0.0,1.8333,0.0005
2,48.1363,47.0557,46.1411,0.2615,1.3078,0.0003,0.0,1.3075,0.0003
3,46.6595,45.537,44.8311,0.1762,0.8812,0.0002,0.0,0.881,0.0001
4,45.1502,44.0436,43.4531,0.1069,0.5345,0.0,0.0,0.5344,0.0001
5,43.6717,42.5054,42.0306,0.0503,0.2518,0.0001,0.0,0.2517,0.0
6,42.0906,41.04,40.612,0.0299,0.1497,0.0001,0.0,0.1496,0.0
7,40.7776,39.8522,39.3032,0.0354,0.1769,0.0,0.0,0.1769,0.0
8,39.6525,38.9598,38.2426,0.0619,0.3095,0.0002,0.0,0.3093,0.0
9,38.7564,38.1803,37.3738,0.08,0.3999,0.0002,0.0,0.3997,0.0
10,37.9991,37.4656,36.5842,0.0955,0.4779,0.0004,0.0,0.4775,0.0
11,37.2996,36.8244,35.9119,0.1095,0.5477,0.0,0.0,0.5477,0.0
12,36.6535,36.222,35.3177,0.1199,0.5996,0.0002,0.0,0.5994,0.0
13,36.0877,35.7412,34.8694,0.127,0.635,0.0001,0.0,0.6349,0.0
14,35.7125,35.4304,34.6076,0.1321,0.6609,0.0002,0.0,0.6607,0.0
15,35.312,34.8794,34.0277,0.1436,0.7183,0.0004,0.0,0.7179,0.0
16,34.7088,34.094,33.1896,0.1543,0.7717,0.0002,0.0,0.7715,0.0
17,33.8429,32.862,31.9835,0.1558,0.7791,0.0003,0.0,0.7789,0.0
18,32.4057,31.0392,30.2768,0.1394,0.6973,0.0006,0.0,0.6966,0.0
19,30.492,29.1687,28.6062,0.0993,0.4968,0.0004,0.0,0.4964,0.0
20,28.886,27.8164,27.4228,0.0635,0.3183,0.0012,0.0,0.3171,0.0
21,27.7028,27.4322,27.0463,0.0579,0.29,0.001,0.0,0.2891,0.0
22,27.3793,27.9465,27.5574,0.0531,0.2668,0.0016,0.0,0.2652,0.0
23,28.6409,29.1085,28.6627,0.0686,0.3435,0.0006,0.0,0.343,0.0
24,29.1904,28.6886,28.324,0.0486,0.2434,0.0003,0.0,0.2432,0.0
25,28.3506,28.0724,27.7332,0.047,0.2354,0.0002,0.0,0.2352,0.0
26,27.9846,27.5399,27.2087,0.0478,0.2395,0.0007,0.0,0.2388,0.0
27,27.4188,26.9395,26.5442,0.0775,0.3886,0.0011,0.0,0.3874,0.0
28,27.2676,27.5707,27.0385,0.1102,0.5512,0.0004,0.0,0.5508,0.0
29,27.2939,26.3913,25.9171,0.1043,0.5227,0.0015,0.0,0.5211,0.0
30,26.3721,26.1566,25.8156,0.0686,0.3432,0.0002,0.0,0.3429,0.0
31,26.3164,26.7289,26.4257,0.0505,0.253,0.0008,0.0,0.2521,0.0
32,26.741,26.6723,26.3889,0.046,0.2309,0.001,0.0,0.2299,0.0
33,26.3622,25.7679,25.449,0.0685,0.3429,0.0004,0.0,0.3425,0.0
34,25.6124,25.445,25.0328,0.1037,0.5187,0.0002,0.0,0.5185,0.0
35,25.3641,25.2821,24.8432,0.1137,0.5686,0.0004,0.0,0.5682,0.0
36,25.3556,25.2805,24.873,0.1089,0.5448,0.0007,0.0,0.5441,0.0
37,25.2727,25.2919,24.8703,0.112,0.5606,0.0008,0.0,0.5598,0.0
38,25.2425,25.0468,24.653,0.1025,0.513,0.0009,0.0,0.5121,0.0
39,24.9908,24.9339,24.5677,0.0941,0.4711,0.0009,0.0,0.4702,0.0
40,24.8623,25.1023,24.7156,0.1018,0.5101,0.0015,0.0,0.5087,0.0
